,support,itemsets
99,0.24390243902439024,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
100,0.2682926829268293,"frozenset({'Kay Beauty Colour Corrector Stick', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
101,0.21951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Lakme Kajal - Black'})"
102,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow'})"
103,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
104,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
105,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Eyeshadow Palette'})"
106,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Gel Eye Pencil'})"
107,0.1951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Hd Liquid Concealer'})"
108,0.17073170731707318,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Illuminating Highlighter'})"
109,0.2926829268292683,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Creme Blush'})"
110,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
111,0.17073170731707318,"frozenset({""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender"", 'Kay Beauty Creme Blush'})"
112,0.1951219512195122,"frozenset({""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick"", 'Kay Beauty Creme Blush'})"
113,0.17073170731707318,"frozenset({'Kay Beauty Creme Blush', 'Lakme 9to5 Primer + Matte Liquid Lip Color'})"
114,0.17073170731707318,"frozenset({'Kay Beauty Creme Blush', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
115,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Lakme Kajal - Black'})"
116,0.17073170731707318,"frozenset({'Kay Beauty Creme Blush', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
117,0.17073170731707318,"frozenset({'Kay Beauty Creme Blush', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
118,0.21951219512195122,"frozenset({'Kay Beauty Gel Eye Pencil', 'Kay Beauty Eyeshadow Palette'})"
119,0.1951219512195122,"frozenset({'Kay Beauty HD Translucent Loose Powder - White', 'Kay Beauty Eyeshadow Palette'})"
120,0.3170731707317073,"frozenset({'Kay Beauty Eyeshadow Palette', 'Kay Beauty Hd Liquid Concealer'})"
121,0.2926829268292683,"frozenset({'Kay Beauty Eyeshadow Palette', 'Kay Beauty Illuminating Highlighter'})"
122,0.4146341463414634,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Eyeshadow Palette'})"
123,0.17073170731707318,"frozenset({'Kay Beauty Eyeshadow Palette', 'Kay Beauty Matte Drama Long Stay Lipstick'})"
124,0.24390243902439024,"frozenset({'Kay Beauty Eyeshadow Palette', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
125,0.17073170731707318,"frozenset({'Lakme 9 To 5 Matte Moist Mattifying Moisturiser', 'Kay Beauty Eyeshadow Palette'})"
126,0.21951219512195122,"frozenset({'Lakme 9to5 Primer + Matte Liquid Lip Color', 'Kay Beauty Eyeshadow Palette'})"
127,0.3170731707317073,"frozenset({'Kay Beauty Eyeshadow Palette', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
128,0.21951219512195122,"frozenset({'Lakme Absolute Plush Matte Lip Crayon', 'Kay Beauty Eyeshadow Palette'})"
129,0.2926829268292683,"frozenset({'Kay Beauty Eyeshadow Palette', 'Lakme Kajal - Black'})"
130,0.1951219512195122,"frozenset({'Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01', 'Kay Beauty Eyeshadow Palette'})"
131,0.36585365853658536,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Eyeshadow Palette'})"
132,0.21951219512195122,"frozenset({'Kay Beauty Eyeshadow Palette', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
133,0.2682926829268293,"frozenset({'Kay Beauty Eyeshadow Palette', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
134,0.1951219512195122,"frozenset({'Kay Beauty Gel Eye Pencil', 'Kay Beauty Hd Liquid Concealer'})"
135,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Gel Eye Pencil'})"
136,0.17073170731707318,"frozenset({'Kay Beauty Gel Eye Pencil', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
137,0.17073170731707318,"frozenset({'Kay Beauty Gel Eye Pencil', 'Lakme 9to5 Primer + Matte Liquid Lip Color'})"
138,0.17073170731707318,"frozenset({'Kay Beauty Gel Eye Pencil', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
139,0.17073170731707318,"frozenset({'Kay Beauty HD Liquid Colour Corrector', 'Kay Beauty Hd Liquid Concealer'})"
140,0.17073170731707318,"frozenset({'Kay Beauty HD Liquid Colour Corrector', ""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick""})"
141,0.1951219512195122,"frozenset({'Kay Beauty HD Translucent Loose Powder - White', 'Kay Beauty Hd Liquid Concealer'})"
142,0.17073170731707318,"frozenset({'Kay Beauty HD Translucent Loose Powder - White', 'Kay Beauty Illuminating Highlighter'})"
143,0.17073170731707318,"frozenset({'Kay Beauty HD Translucent Loose Powder - White', 'Kay Beauty Matte Compact'})"
144,0.2926829268292683,"frozenset({'Kay Beauty Hd Liquid Concealer', 'Kay Beauty Illuminating Highlighter'})"
145,0.2926829268292683,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Hd Liquid Concealer'})"
146,0.1951219512195122,"frozenset({'Kay Beauty Hd Liquid Concealer', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
147,0.17073170731707318,"frozenset({'Lakme 9to5 Primer + Matte Liquid Lip Color', 'Kay Beauty Hd Liquid Concealer'})"
148,0.21951219512195122,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Kay Beauty Hd Liquid Concealer'})"
149,0.1951219512195122,"frozenset({'Lakme Absolute Plush Matte Lip Crayon', 'Kay Beauty Hd Liquid Concealer'})"
150,0.17073170731707318,"frozenset({'Kay Beauty Hd Liquid Concealer', 'Lakme Kajal - Black'})"
151,0.21951219512195122,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Hd Liquid Concealer'})"
152,0.17073170731707318,"frozenset({'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo', 'Kay Beauty Hd Liquid Concealer'})"
153,0.21951219512195122,"frozenset({'Kay Beauty Hd Liquid Concealer', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
154,0.2926829268292683,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Illuminating Highlighter'})"
155,0.21951219512195122,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Kay Beauty Illuminating Highlighter'})"
156,0.24390243902439024,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Kay Beauty Illuminating Highlighter'})"
157,0.1951219512195122,"frozenset({'Kay Beauty Illuminating Highlighter', 'Lakme Kajal - Black'})"
158,0.2682926829268293,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Illuminating Highlighter'})"
159,0.17073170731707318,"frozenset({'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo', 'Kay Beauty Illuminating Highlighter'})"
160,0.24390243902439024,"frozenset({'Kay Beauty Illuminating Highlighter', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
161,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Matte Drama Long Stay Lipstick'})"
162,0.2682926829268293,"frozenset({'Kay Beauty Matte Compact', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
163,0.21951219512195122,"frozenset({'Kay Beauty Matte Compact', ""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender""})"
164,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', ""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick""})"
165,0.1951219512195122,"frozenset({'Lakme 9 To 5 Matte Moist Mattifying Moisturiser', 'Kay Beauty Matte Compact'})"
166,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Lakme 9to5 Primer + Matte Liquid Lip Color'})"
167,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Lakme Absolute Argan Oil Serum Foundation With SPF 45'})"
168,0.2682926829268293,"frozenset({'Kay Beauty Matte Compact', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
169,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Lakme Absolute Plush Matte Lip Crayon'})"
170,0.2926829268292683,"frozenset({'Kay Beauty Matte Compact', 'Lakme Kajal - Black'})"
